time,open,high,low,close,volume
2026-03-11 07:00:00,14.35,14.65,14.21,14.55,52147100
2026-03-12 07:00:00,14.4,14.9,14.26,14.75,83295200
2026-03-13 07:00:00,14.45,14.75,14.4,14.75,57514000
2026-03-16 07:00:00,14.65,15.09,14.5,15.0,84195400
2026-03-17 07:00:00,15.04,15.09,14.85,14.85,48614400
2026-03-18 07:00:00,14.85,15.0,14.7,14.9,46241800
2026-03-19 07:00:00,14.75,14.95,14.55,14.8,65431900
2026-03-20 07:00:00,14.7,14.9,14.6,14.7,35688500
2026-03-23 07:00:00,14.55,14.6,14.11,14.21,85660000
2026-03-24 07:00:00,14.5,14.55,14.21,14.26,34929600
2026-03-25 07:00:00,14.4,14.8,14.3,14.8,76541900
2026-03-26 07:00:00,14.75,15.04,14.55,14.95,67867100
2026-03-27 07:00:00,14.95,15.24,14.85,15.19,69844300
2026-03-30 07:00:00,15.0,15.24,14.8,15.24,85561300
2026-03-31 07:00:00,15.09,15.34,15.04,15.34,96443300
2026-04-01 07:00:00,15.39,15.44,15.0,15.0,79845400
2026-04-02 07:00:00,14.95,14.95,14.55,14.65,110127300
2026-04-03 07:00:00,14.85,14.9,14.4,14.9,52368000
2026-04-06 07:00:00,14.8,14.8,14.5,14.5,35893400
2026-04-07 07:00:00,14.7,14.7,14.45,14.7,51817400
2026-04-08 07:00:00,15.0,15.35,14.85,15.3,80529600
2026-04-09 07:00:00,15.2,15.5,15.05,15.5,85696800
2026-04-10 07:00:00,15.55,15.55,15.2,15.4,105591400
2026-04-13 07:00:00,15.2,15.25,14.95,15.0,115190900
2026-04-14 07:00:00,15.1,15.15,14.8,15.1,98761800
2026-04-15 07:00:00,15.1,15.4,14.95,15.4,71780700
2026-04-16 07:00:00,15.15,15.55,15.1,15.55,137811200
2026-04-17 07:00:00,15.4,15.5,15.25,15.3,65583800
2026-04-20 07:00:00,15.2,15.3,15.15,15.3,47390400
2026-04-21 07:00:00,15.3,15.4,15.15,15.15,48986600
